Player,Team,Position,Age,Date.of.Birth,Birth.City,Birth.State.Province,Birth.Country,Nationality,Height..in.,Weight..lbs.,Draft.Year,Draft.Team,Draft.Round,Round.Pick,Overall.Draft.Position
JAMIE.LUNDMARK,TOR,C,37,1981-01-16,Edmonton,AB,CAN,CAN,72,197,1999,NYR,1,9,9
JAMIE.MCBAIN,CAR,D,30,1988-02-25,Edina,MN,USA,USA,73,180,2006,CAR,2,33,63
JARED.COWEN,OTT,D,27,1991-01-25,Saskatoon,SK,CAN,CAN,77,238,2009,OTT,1,9,9
JAROSLAV.SPACEK,MTL,D,44,1974-02-11,Rokycany,,CZE,CZE,72,210,1998,FLA,5,3,117
JASON.BLAKE,ANA,L,45,1973-09-02,Moorhead,MN,USA,USA,70,190,-,-,-,-,-
JASON.CHIMERA,WSH,L,39,1979-05-02,Edmonton,AB,CAN,CAN,75,215,1997,EDM,5,15,121
JASON.DEMERS,S.J,D,30,1988-06-09,Dorval,QC,CAN,CAN,73,195,2008,S.J,7,5,186
JASON.JAFFRAY,CGY,L,37,1981-06-30,Olds,AB,CAN,CAN,73,195,-,-,-,-,-
JASON.WILLIAMS,DET,C,38,1980-08-11,London,ON,CAN,CAN,71,192,-,-,-,-,-
JAY.BOUWMEESTER,CGY,D,34,1983-09-27,Edmonton,AB,CAN,CAN,76,206,2002,FLA,1,3,3
JAY.HARRISON,CAR,D,35,1982-11-03,Oshawa,ON,CAN,CAN,76,222,2001,TOR,3,19,82
JAY.LEACH,MTL,D,39,1979-09-02,Syracuse,NY,USA,USA,77,220,1998,PHX,5,1,115
JAY.LEACH,S.J,D,39,1979-09-02,Syracuse,NY,USA,USA,77,220,1998,PHX,5,1,115
JAY.MCKEE,PIT,D,41,1977-09-08,Kingston,ON,CAN,CAN,76,203,1995,BUF,1,14,14
JAY.ROSEHILL,TOR,L,33,1985-07-16,Olds,AB,CAN,CAN,75,215,2003,T.B,7,30,227
JED.ORTMEYER,S.J,R,40,1978-09-03,Omaha,NE,USA,USA,72,200,-,-,-,-,-
JEFF.HALPERN,L.A,C,42,1976-05-03,Washington,DC,USA,USA,72,190,-,-,-,-,-
JEFF.PENNER,BOS,D,31,1987-04-13,Steinbach,MB,CAN,CAN,70,183,-,-,-,-,-
JEFF.TAFFE,FLA,L,37,1981-02-19,Hastings,MN,USA,USA,75,207,2000,STL,1,30,30
JEFF.WOYWITKA,DAL,D,35,1983-09-01,Vermilion,AB,CAN,CAN,75,227,2001,PHI,1,27,27
JEROME.SAMSON,CAR,R,31,1987-09-04,Greenfield Park,QC,CAN,CAN,72,195,-,-,-,-,-
JIM.VANDERMEER,PHX,D,38,1980-02-21,Caroline,AB,CAN,CAN,73,210,-,-,-,-,-
JIRI.TLUSTY,CAR,L,30,1988-03-16,Slany,,CZE,CZE,72,205,2006,TOR,1,13,13
JODY.SHELLEY,NYR,L,42,1976-02-07,Thompson,MB,CAN,CAN,75,230,-,-,-,-,-
JOE.CALLAHAN,S.J,D,35,1982-12-20,Brockton,MA,USA,USA,75,210,2002,PHX,3,7,70
JOE.CORVO,WSH,D,41,1977-06-20,Oak Park,IL,USA,USA,72,204,1997,L.A,4,3,83
JOFFREY.LUPUL,ANA,L,34,1983-09-23,Fort Saskatchewan,AB,CAN,CAN,73,206,2002,ANA,1,7,7
JOHAN.MOTIN,EDM,D,28,1989-10-10,Karlskoga,,SWE,SWE,74,220,2008,EDM,4,12,103
JOHN.CARLSON,WSH,D,28,1990-01-10,Natick,MA,USA,USA,75,218,2008,WSH,1,27,27
JOHN.MADDEN,CHI,C,45,1973-05-04,Toronto,ON,CAN,CAN,71,190,-,-,-,-,-
JOHN.MCCARTHY,S.J,C,32,1986-08-09,Boston,MA,USA,USA,73,195,2006,S.J,7,19,202
JOHN.TAVARES,NYI,C,27,1990-09-20,Mississauga,ON,CAN,CAN,73,208,2009,NYI,1,1,1
JOHNNY.ODUYA,ATL,D,36,1981-10-01,Stockholm,,SWE,SWE,72,195,2001,WSH,7,25,221
JONATHAN.CHEECHOO,OTT,R,38,1980-07-15,Moose Factory,ON,CAN,CAN,73,206,1998,S.J,2,2,29
JORDAN.LEOPOLD,FLA,D,38,1980-08-03,Golden Valley,MN,USA,USA,73,206,1999,ANA,2,16,44
JORDAN.LEOPOLD,PIT,D,38,1980-08-03,Golden Valley,MN,USA,USA,73,206,1999,ANA,2,16,44
JT.WYMAN,MTL,R,32,1986-02-27,Edina,MN,USA,USA,74,209,2004,MTL,4,2,100
JUSTIN.FALK,MIN,D,29,1988-10-11,Snowflake,MB,CAN,CAN,77,223,2007,MIN,4,19,110
JUSTIN.MERCIER,COL,C,31,1987-06-25,Erie,PA,USA,USA,71,190,2005,COL,6,6,168
KARLIS.SKRASTINS,DAL,D,44,1974-07-09,Riga,,LVA,LVA,74,208,1998,NSH,9,2,230
KASPARS.DAUGAVINS,OTT,L,30,1988-05-18,Riga,,LVA,LVA,72,213,2006,OTT,3,28,91
KEATON.ELLERBY,FLA,D,29,1988-11-05,Strathmore,AB,CAN,CAN,77,220,2007,FLA,1,10,10
KENT.HUSKINS,S.J,D,39,1979-05-04,Almonte,ON,CAN,CAN,76,210,1998,CHI,6,11,156
KEVIN.PORTER,COL,C,32,1986-03-12,Detroit,MI,USA,USA,72,190,2004,PHX,4,21,119
KIM.JOHNSSON,CHI,D,42,1976-03-16,Malmö,,SWE,SWE,73,193,1994,NYR,11,26,286
KRIS.NEWBURY,DET,C,36,1982-02-19,Brampton,ON,CAN,CAN,71,205,2002,S.J,5,8,139
KURTIS.FOSTER,T.B,D,36,1981-11-24,Carp,ON,CAN,CAN,77,225,2000,CGY,2,10,40
KYLE.BRODZIAK,MIN,C,34,1984-05-25,St. Paul,AB,CAN,CAN,74,209,2003,EDM,7,17,214
KYLE.CALDER,ANA,L,39,1979-01-05,Mannville,AB,CAN,CAN,71,177,1997,CHI,5,24,130
KYLE.CHIPCHURA,ANA,C,32,1986-02-19,Westlock,AB,CAN,CAN,74,203,2004,MTL,1,18,18
KYLE.QUINCEY,COL,D,33,1985-08-12,Kitchener,ON,CAN,CAN,74,210,2003,DET,4,31,132
KYLE.WILSON,WSH,C,33,1984-12-15,Oakville,ON,CAN,CAN,73,200,2004,MIN,9,14,272
LARS.ELLER,STL,C,29,1989-05-08,Rodovre,,DNK,DNK,74,207,2007,STL,1,13,13
LAURI.KORPIKOSKI,PHX,L,32,1986-07-28,Turku,,FIN,FIN,73,193,2004,NYR,1,19,19
LEE.STEMPNIAK,PHX,R,35,1983-02-04,West Seneca,NY,USA,USA,71,195,2003,STL,5,12,148
LOGAN.COUTURE,S.J,C,29,1989-03-28,Guelph,ON,CAN,CAN,73,205,2007,S.J,1,9,9
LUBOMIR.VISNOVSKY,ANA,D,42,1976-08-11,Topolcany,,SVK,SVK,70,192,2000,L.A,4,22,118
LUCA.CAPUTI,TOR,L,29,1988-10-01,Toronto,ON,CAN,CAN,75,200,2007,PIT,4,20,111
LUCA.SBISA,ANA,D,28,1990-01-30,Ozieri,,ITA,CHE,74,209,2008,PHI,1,19,19
LUKAS.KRAJICEK,PHI,D,35,1983-03-11,Prostejov,,CZE,CZE,75,205,2001,FLA,1,24,24
MACGREGOR.SHARP,ANA,C,32,1985-10-01,Red Deer,AB,CAN,CAN,73,185,-,-,-,-,-
MANNY.MALHOTRA,S.J,C,38,1980-05-18,Mississauga,ON,CAN,CAN,74,207,1998,NYR,1,7,7
MARC.ANDRE.BERGERON,MTL,D,37,1980-10-13,Trois-Rivieres,QC,CAN,CAN,69,190,-,-,-,-,-
MARC.ANDRE.CLICHE,L.A,C,31,1987-03-23,Rouyn-Noranda,QC,CAN,CAN,72,202,2005,NYR,2,26,56
MARCEL.GOC,NSH,C,35,1983-08-24,Calw,,DEU,DEU,73,197,2001,S.J,1,20,20
MARIAN.GABORIK,NYR,R,36,1982-02-14,Trencin,,SVK,SVK,73,200,2000,MIN,1,3,3
MARIAN.HOSSA,CHI,R,39,1979-01-12,Stará Lubovna,,SVK,SVK,73,207,1997,OTT,1,12,12
MARIO.BLIZNAK,VAN,C,31,1987-03-06,Trencin,,SVK,SVK,72,185,2005,VAN,7,11,205
MARK.FLOOD,NYI,D,33,1984-09-29,Charlottetown,PE,CAN,CAN,73,195,2003,MTL,6,21,188
MARK.FRASER,N.J,D,31,1986-09-29,Ottawa,ON,CAN,CAN,76,220,2005,N.J,3,23,84
MARK.LETESTU,PIT,C,33,1985-02-04,Elk Point,AB,CAN,CAN,70,195,-,-,-,-,-
MARK.PARRISH,T.B,R,41,1977-02-02,Bloomington,MN,USA,USA,71,199,1996,COL,3,27,79
MARTIN.HAVLAT,MIN,R,37,1981-04-19,Mlada Boleslav,,CZE,CZE,74,210,1999,OTT,1,26,26
MARTIN.SKOULA,N.J,D,38,1979-10-28,Litomerice,,CZE,CZE,75,226,1998,COL,1,17,17
MARTIN.SKOULA,PIT,D,38,1979-10-28,Litomerice,,CZE,CZE,75,226,1998,COL,1,17,17
MARTIN.ST.PIERRE,OTT,C,35,1983-08-11,Ottawa,ON,CAN,CAN,69,188,-,-,-,-,-
MATHIEU.CARLE,MTL,D,30,1987-09-30,Gatineau,QC,CAN,CAN,72,203,2006,MTL,2,23,53
MATHIEU.DARCHE,MTL,L,41,1976-11-26,Montreal,QC,CAN,CAN,73,215,-,-,-,-,-
MATHIEU.PERREAULT,WSH,C,30,1988-01-05,Drummondville,QC,CAN,CAN,70,188,2006,WSH,6,24,177
MATHIEU.ROY,CBJ,D,35,1983-08-10,St. Georges,QC,CAN,CAN,74,210,2003,EDM,7,18,215
MATHIEU.SCHNEIDER,PHX,D,49,1969-06-12,New York City,NY,USA,USA,71,192,1987,MTL,3,2,44
MATHIEU.SCHNEIDER,VAN,D,49,1969-06-12,New York City,NY,USA,USA,71,192,1987,MTL,3,2,44
MATT.CULLEN,OTT,C,41,1976-11-02,Virginia,MN,USA,USA,73,202,1996,ANA,2,9,35
MATT.D.AGOSTINI,STL,R,31,1986-10-23,Sault Ste. Marie,ON,CAN,CAN,72,198,2005,MTL,6,28,190
MATT.DUCHENE,COL,C,27,1991-01-16,Haliburton,ON,CAN,CAN,71,195,2009,COL,1,3,3
MATT.GILROY,NYR,D,34,1984-07-20,North Bellmore,NY,USA,USA,73,199,-,-,-,-,-
MATT.MARTIN,NYI,L,29,1989-05-08,Windsor,ON,CAN,CAN,75,220,2008,NYI,5,27,148
MATT.MOULSON,NYI,L,34,1983-11-01,North York,ON,CAN,CAN,73,203,2003,PIT,9,2,263
MATT.STAJAN,CGY,C,34,1983-12-19,Mississauga,ON,CAN,CAN,73,195,2002,TOR,2,27,57
MATT.WALKER,T.B,D,38,1980-04-07,Beaverlodge,AB,CAN,CAN,76,215,1998,STL,3,25,83
MATTHEW.CORRENTE,N.J,D,30,1988-03-17,Mississauga,ON,CAN,CAN,72,205,2006,N.J,1,30,30
MATTIAS.OHLUND,T.B,D,42,1976-09-09,Pitea,,SWE,SWE,76,233,1994,VAN,1,13,13
MAXIM.AFINOGENOV,ATL,R,39,1979-09-04,Moscow,,RUS,RUS,72,190,1997,BUF,3,16,69
MAXIM.NOREAU,MIN,D,31,1987-05-24,Montreal,QC,CAN,CAN,72,194,-,-,-,-,-
MAXIME.FORTUNUS,DAL,D,35,1983-07-28,Longueuil,QC,CAN,CAN,71,202,-,-,-,-,-
MICHAEL.DEL.ZOTTO,NYR,D,28,1990-06-24,Stouffville,ON,CAN,CAN,72,195,2008,NYR,1,20,20
MICHAEL.GRABNER,VAN,R,30,1987-10-05,Villach,,AUT,AUT,73,188,2006,VAN,1,14,14
MICHEAL.HALEY,NYI,C,32,1986-03-30,Guelph,ON,CAN,CAN,71,205,-,-,-,-,-
MIKA.PYORALA,PHI,C,37,1981-07-13,Oulu,,FIN,FIN,72,190,-,-,-,-,-
MIKAEL.SAMUELSSON,VAN,R,41,1976-12-23,Mariefred,,SWE,SWE,74,218,1998,S.J,5,31,145
MIKE.BLUNDEN,CBJ,R,31,1986-12-15,Toronto,ON,CAN,CAN,76,217,2005,CHI,2,13,43
MIKE.CAMMALLERI,MTL,L,36,1982-06-08,Toronto,ON,CAN,CAN,69,185,2001,L.A,2,19,49
MIKE.COMRIE,EDM,C,38,1980-09-11,Edmonton,AB,CAN,CAN,70,185,1999,EDM,3,25,91
MIKE.DUCO,FLA,R,31,1987-07-08,Toronto,ON,CAN,CAN,70,200,-,-,-,-,-
MIKE.GRIER,BUF,R,43,1975-01-05,Detroit,MI,USA,USA,73,224,1993,STL,9,11,219
MIKE.KNUBLE,WSH,R,46,1972-07-04,Toronto,ON,CAN,USA,75,229,1991,DET,4,10,76
MIKE.KOMISAREK,TOR,D,36,1982-01-19,West Islip,NY,USA,USA,76,235,2001,MTL,1,7,7
MIKE.RUPP,PIT,L,38,1980-01-13,Cleveland,OH,USA,USA,77,235,2000,N.J,3,11,76
MILAN.JURCINA,CBJ,D,35,1983-06-07,Liptovsky Mikulas,,SVK,SVK,76,253,2001,BOS,8,14,241
MILAN.MICHALEK,OTT,L,33,1984-12-07,Jindrichuv Hradec,,CZE,CZE,74,225,2003,S.J,1,6,6
